Fecha;Ultimo;Apertura;Máximo;Mínimo;Vol.;% var.;ln(x) 
01.09.2022;277,16;272,58;277,58;266,15;54,29;0,56%;5,624594957
02.09.2022;270,21;281,07;282,35;269,08;50,89;-2,51%;5,599199434
06.09.2022;274,42;272,67;275,99;265,74;55,86;1,56%;5,614659779
07.09.2022;283,7;273,1;283,84;272,27;50,03;3,38%;5,647917342
08.09.2022;289,26;281,3;289,5;279,76;53,71;1,96%;5,667325938
09.09.2022;299,68;291,67;299,85;291,24;54,47;3,60%;5,702715239
12.09.2022;304,42;300,72;305,49;300,4;48,68;1,58%;5,718408327
13.09.2022;292,13;292,9;297,4;290,4;68,23;-4,04%;5,677198909
14.09.2022;302,61;292,24;306;291,64;72,63;3,59%;5,712444848
15.09.2022;303,75;301,83;309,12;300,72;64,8;0,38%;5,716204995
16.09.2022;303,35;299,61;303,71;295,6;87,09;-0,13%;5,714887254
19.09.2022;309,07;300,09;309,84;297,8;60,23;1,89%;5,733567788
20.09.2022;308,73;306,91;313,33;305,58;61,64;-0,11%;5,732467109
21.09.2022;300,8;308,29;313,8;300,63;62,56;-2,57%;5,706445592
22.09.2022;288,59;299,86;301,29;285,82;70,55;-4,06%;5,665006996
23.09.2022;275,33;283,09;284,5;272,82;63,75;-4,59%;5,617970378
26.09.2022;276,01;271,64;284,02;270,54;57,71;0,25%;5,620437097
27.09.2022;282,94;284,05;288,64;277,59;61,4;2,51%;5,645234861
28.09.2022;287,81;282,96;288,97;277,69;54,15;1,72%;5,66230054
29.09.2022;268,21;282,81;283,48;265,88;76,86;-6,81%;5,591770256
30.09.2022;265,25;265,29;275,49;262,61;66,83;-1,10%;5,580672777
